x,y,z
1532334000.00,4434610.702916452597526252404667,-3922780.027734890389228082202967,7384187.396453118516058968663955
1532334000.04,4434570.473907610201012469004713,-3922880.287116555777457272898244,7384189.072192475130234590574718
1532334001.00,4433604.976736257457292198035884,-3925286.514666897306420745162006,7384229.289976986648186306257819
1532334002.00,4432599.250556062317058143667101,-3927793.001598904223613408121046,7384271.183500854780313643851684
1532334003.00,4431593.524375867176824089298318,-3930299.488530911140806071080085,7384313.077024722912440981445548
1532334004.00,4430587.798195672036590034929535,-3932805.975462918057998734039124,7384354.970548591044568319039412
1532334004.04,4430547.569186829640076251529581,-3932906.234844583446227924734402,7384356.646287947658743940950174
1532334009.04,4425458.371209606909252699619455,-3945389.315990733075471861135506,7384479.389110193409436866869279
1532334014.04,4420308.749184512150327204321402,-3957822.897257001670828803671796,7384515.485611963309783768134243
1532334019.04,4415098.845167790153675336998362,-3970206.831730779458169517497107,7384465.012499786714930973074040
1532334024.04,4409828.800252973249483866489727,-3982540.971944240517016288870375,7384328.044717656808135840624279
1532334029.04,4404498.754580162244273613812582,-3994825.169865689216464591576265,7384104.655454373324472927494207
1532334034.04,4399108.847345167214949722293769,-4007059.276890894724890215646680,7383794.916150717964553788354538
1532334039.04,4393659.216808577319778785824576,-4019243.143834365939366142555628,7383398.896506434446272267781572
1532334044.04,4388150.000304644653488304899980,-4031376.620920598867112027914499,7382916.664486942058562535601491
1532334049.04,4382581.334250103270428302556116,-4043459.557775293255801513573119,7382348.286329939967334231826413
1532334054.04,4376953.354152856395654814175449,-4055491.803416516873265967837748,7381693.826551749905582488079951
1532334059.04,4371266.194620554491422589503297,-4067473.206245808359754507986598,7380953.347953531942932239019997
1532334064.04,4365519.989369041993949864007179,-4079403.614039272357943370382447,7380126.911627238204767675329555
1532334069.04,4359714.871230762677659305451675,-4091282.873938597087355188918042,7379214.576961413507019566163051
1532334074.04,4353850.972162963973708592778205,-4103110.832442041767404909287292,7378216.401646838953665813665564
1532334079.04,4347928.423255851121308118287889,-4114887.335395359281894235013463,7377132.441681931065903202786220
1532334084.04,4341947.354740642655846510823787,-4126612.227982676167004220389297,7375962.751377951649704070796611
1532334089.04,4335907.895997515708552897488017,-4138285.354717302015991290619629,7374707.383364150212866417315967
1532334094.04,4329810.175563414480643256478514,-4149906.559432510819037093103801,7373366.388592530983812374850438
1532334099.04,4323654.321139835345513764657454,-4161475.685272230585986951786246,7371939.816342609476176230621726
1532334104.04,4317440.459600436097518018019280,-4172992.574681693558188880260368,7370427.714225909596938358612357
1532334109.04,4311168.716998608049228690216068,-4184457.069398017871868683017804,7368830.128190263863544275129271
1532334114.04,4304839.218574915595201090801911,-4195869.010440740462364761766460,7367147.102523991935056427792431
1532334119.04,4298452.088764480946838161906039,-4207228.238102237169683372688593,7365378.679859869402371309929889
1532334124.04,4292007.451204259245822702652860,-4218534.591938134797726504166577,7363524.901178901231642276257958
1532334129.04,4285505.428740192011335634305185,-4229787.910757618175893006421002,7361585.805813985610719452555530
1532334134.04,4278946.143434348239049725825583,-4240988.032613681874749511934819,7359561.431453308750015690576852
1532334139.04,4272329.716571887556224161791539,-4252134.794793267536534931636797,7357451.814143642724231782969570
1532334144.04,4265656.268668048765421967142408,-4263228.033807398718664490956717,7355256.988293446620058696671153
1532334149.04,4258925.919474918350237084998090,-4274267.585381155740519983270545,7352976.986675768696908726900461
1532334154.04,4252138.787988252471375796739731,-4285253.284443631822632340387388,7350611.840431008960340739243856
1532334159.04,4245294.992454139568248752885526,-4296184.965117782883509405201679,7348161.579069503803121928142768
1532334164.04,4238394.650375584034202334215517,-4307062.460710200716778198554278,7345626.230473939414310162757283
1532334169.04,4231437.878519042649110136880545,-4317885.603700794425165310311129,7343005.820901556335364533318011
1532334174.04,4224424.792920897439191000656719,-4328654.225732367500329201492947,7340300.374986273248931404007053
1532334179.04,4217355.508893776091239997528109,-4339368.157600143944005423450465,7337509.915740533932250078350847
1532334184.04,4210230.141032875733234515194024,-4350027.229241169675553211587107,7334634.464557055531586467886266
1532334189.04,4203048.803222203150106775749969,-4360631.269723612666140719201102,7331674.041210413600239551275454
1532334194.04,4195811.608640683923039593537189,-4371180.107235994259706116069703,7328628.663858386870953219770787
1532334199.04,4188518.669768287191097621626509,-4381673.569076356781081003193365,7325498.349043220010934799637722
1532334204.04,4181170.098392019025269835375321,-4392111.481641196954889471296183,7322283.111692660035765961529092
1532334209.04,4173766.005611862798561124497391,-4402493.670414436948829909726019,7318982.965120853489531161058187
1532334214.04,4166306.501846659445452828839571,-4412819.959956208799341377048060,7315597.921029054170561043364087
1532334219.04,4158791.696839923352484000992025,-4423090.173891576925320643834349,7312127.989506178618291595676721
1532334224.04,4151221.699665584006045533401409,-4433304.134899115038687102162940,7308573.179029222476218417864452
1532334229.04,4143596.618733667344864452864351,-4443461.664699395686551858106715,7304933.496463426973891131671232
1532334234.04,4135916.561795931516569561096471,-4453562.584043304467769628428988,7301208.947062354684623324145682
1532334239.04,4128181.635951399518192218106566,-4463606.712700348872402803250106,7297399.534467783602988075276577
1532334244.04,4120391.947651875527960415405811,-4473593.869446742272703793694806,7293505.260709402080891986514822
1532334249.04,4112547.602707385857077755171951,-4483523.872053403592182278783893,7289526.126204345752248120182591
1532334254.04,4104648.706291538710980169540425,-4493396.537273852032528155911961,7285462.129756612454794595409980
